Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,PDF,URL
"Duggal, Geet *; Navlakha, Saket *; Girvan, Michelle; Kingsford, Carl;",Uncovering many views of biological networks using ensembles of near-optimal partitions,"Proceedings of the 1st International Workshop on Discovering, Summarizing and Using Multiple Clusterings (KDD MultiClust)",9,9,,2010,Washington DC,biomodularity.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1APlUC8AAAAJ&citation_for_view=1APlUC8AAAAJ:u5HHmVD_uO8C
"Ku, Wai Lim; Duggal, Geet; Li, Yuan; Girvan, Michelle; Ott, Edward;","Interpreting patterns of gene expression: signatures of coregulation, the data processing inequality, and triplet motifs",PloS one,7,2,e31969,2012,"Public Library of Science San Francisco, USA",networkexpr.pdf,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0031969
"Patro, Robert *; Duggal, Geet *; Sefer, Emre; Wang, Hao; Filippova, Darya; Kingsford, Carl;",The missing models: A data-driven approach for learning how networks grow,Proceedings of the 18th ACM SIGKDD international conference on Knowledge discovery and data mining,,,42-50,2012,,growcode.pdf,https://dl.acm.org/doi/abs/10.1145/2339530.2339541
"Duggal, Geet; Kingsford, Carl;",Graph rigidity reveals well-constrained regions of chromosome conformation embeddings,BMC bioinformatics,13,,1-13,2012,BioMed Central,rigidity3c.pdf,https://link.springer.com/article/10.1186/1471-2105-13-241
"Duggal, Geet; Patro, Rob; Sefer, Emre; Wang, Hao; Filippova, Darya; Khuller, Samir; Kingsford, Carl;",Resolving spatial inconsistencies in chromosome conformation measurements,Algorithms for Molecular Biology,8,,1-10,2013,BioMed Central,consistency3c.pdf,https://link.springer.com/article/10.1186/1748-7188-8-8
"Filippova, Darya; Duggal, Geet; Patro, Rob; Kingsford, Carl;",Chromovis: Feature-rich layouts of chromosome conformation graphs,Unpublished manuscript at http://www. cs. cmu. edu/~ dfilippo/projects/chromovis/chromovisGD2013. pdf (last accessed 9/21/2017),15,,,2013,,chromovis.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1APlUC8AAAAJ&sortby=pubdate&citation_for_view=1APlUC8AAAAJ:eQOLeE2rZwMC
"Duggal, Geet; Wang, Hao; Kingsford, Carl;",Higher-order chromatin domains link eQTLs with the expression of far-away genes,Nucleic acids research,42,1,87-96,2014,Oxford University Press,3qtl.pdf,https://academic.oup.com/nar/article/42/1/87/2436666
"Wang, Hao; Duggal, Geet; Patro, Rob; Girvan, Michelle; Hannenhalli, Sridhar; Kingsford, Carl;",Topological properties of chromosome conformation graphs reflect spatial proximities within chromatin,"Proceedings of the International Conference on Bioinformatics, Computational Biology and Biomedical Informatics",,,306-315,2013,,topo3c.pdf,https://dl.acm.org/doi/abs/10.1145/2506583.2506633
"Filippova, Darya *; Patro, Rob *; Duggal, Geet *; Kingsford, Carl;",Identification of alternative topological domains in chromatin,Algorithms for Molecular Biology,9,,1-11,2014,BioMed Central,domains.pdf,https://link.springer.com/article/10.1186/1748-7188-9-14
"Sefer, Emre; Duggal, Geet; Kingsford, Carl;",Deconvolution of ensemble chromatin interaction data reveals the latent mixing structures in cell subpopulations,Journal of Computational Biology,23,6,425-438,2016,"Mary Ann Liebert, Inc. 140 Huguenot Street, 3rd Floor New Rochelle, NY 10801 USA",deconvolution.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4904159/
"Patro, Rob; Duggal, G; Love, MI; Irizarry, RA; Kingsford, C;",Salmon: fast and bias-aware quantification of transcript expression using dual-phase inference,Nature Methods,14,,417,2017,,salmon.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5600148/
